Guarantee Number,Transaction Report ID,Guarantee Country Name,Amount (USD),Currency Name,End Date,Business Sector,City/Town,State/Province/Region Name,State/Province/Region Code,State/Province/Region Country Name,Region Name,Latitude,Longitude,Is Woman Owned?,Is First Time Borrower?,Business Size
112-DCA-10-01A,361895,Azerbaijan,135000,UNITED STATES - DOLLAR,6/8/2015,Agriculture,Baku,,,,,,,0,0,6--10
112-DCA-10-01A,369450,Azerbaijan,60000,UNITED STATES - DOLLAR,7/7/2014,Agriculture,Khachmaz,Xacmaz,AJ60,Azerbaijan,EUROPE & EURASIA,41.463489,48.80605,0,0,6--10
112-DCA-10-01A,424006,Azerbaijan,100000,UNITED STATES - DOLLAR,9/29/2015,Agriculture,"Baku, Sabunchu",,,,,,,0,0,51--100
112-DCA-10-01A,424007,Azerbaijan,85000,UNITED STATES - DOLLAR,9/29/2015,Agriculture,Jalilabad,Calilabad,AJ15,Azerbaijan,EUROPE & EURASIA,39.209633,48.491862,0,1,1--5
532-DCA-15-007A,516206,Jamaica,1000000,JAMAICA - DOLLAR,9/30/2023,,,,,,,,,0,0,
532-DCA-15-007C (Unallocated Reserve Amount),516207,Jamaica,6510638,JAMAICA - DOLLAR,9/30/2023,,,,,,,,,0,0,
620-DCA-10-004,314355,Nigeria,1321.8771,NIGERIA - NAIRA,5/2/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,1,1,
620-DCA-10-004,314356,Nigeria,660.9385,NIGERIA - NAIRA,5/8/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,1,1,
620-DCA-10-004,314357,Nigeria,330.4693,NIGERIA - NAIRA,5/9/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,0,0,
620-DCA-10-004,314358,Nigeria,660.9385,NIGERIA - NAIRA,5/11/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,1,1,
620-DCA-10-004,314359,Nigeria,660.9385,NIGERIA - NAIRA,5/12/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,1,1,
620-DCA-10-004,314360,Nigeria,991.4078,NIGERIA - NAIRA,4/15/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,0,0,
620-DCA-10-004,314361,Nigeria,1454.0648,NIGERIA - NAIRA,6/19/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,0,0,
620-DCA-10-004,314362,Nigeria,793.1262,NIGERIA - NAIRA,6/22/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,0,0,
620-DCA-10-004,314363,Nigeria,528.7508,NIGERIA - NAIRA,5/25/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,1,0,
620-DCA-10-004,314364,Nigeria,1321.8771,NIGERIA - NAIRA,5/26/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,1,1,
620-DCA-10-004,314365,Nigeria,991.4078,NIGERIA - NAIRA,6/29/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,0,0,
620-DCA-10-004,314366,Nigeria,1487.1117,NIGERIA - NAIRA,8/30/2011,Health,Lagos,Lagos,NI05,Nigeria,AFRICA,6.453056,3.395833,0,0,
